## Profile File Version 1.00
## Output by Program MBgrdviz
## Program Version $Id: mbgrdviz_callbacks.c 2268 2016-03-15 02:11:26Z caress $
## MB-System Version 5.5.2268
## Run by user <eve> on cpu <guate.shore.mbari.org> at <Fri Jul  1 14:24:07 2016>
## Number of profile points: 26055
## Profile point format:
##   <lateral distance (m)> <topography (m)> <boundary (boolean)> <longitude (deg)> <latitude (deg)> <distance over topo (m)> <bearing (deg)> <slope (m/m)>
## PROFILESOURCE Route
## PROFILELENGTH 19988.454293
## PROFILEZMIN -721.400523
## PROFILEZMAX 26055.000000
## PROFILEPOINTS 26055
#- Subsetted for "on bottom" time of BED09 during 9 January 2017 event - it floated up
lat_dist_m topo_m boundary long lat dist_topo_m bearing slope
6643.899665 -353.349526 0 -121.862130 36.801591 6828.185701 191.309962 0.095555
6644.684402 -353.236371 0 -121.862132 36.801584 6828.978553 191.309965 0.133858
6644.921916 -353.212690 0 -121.862133 36.801582 6829.217245 191.309966 0.184483
6645.944166 -353.003966 0 -121.862135 36.801573 6830.260586 191.309968 0.154574
6646.966416 -352.896663 0 -121.862138 36.801564 6831.288453 191.309971 0.050731
6647.988666 -352.900246 0 -121.862140 36.801555 6832.310709 191.309974 0.024159
6649.010917 -352.847270 0 -121.862142 36.801546 6833.334331 191.309977 0.064973
6649.495502 -352.802342 0 -121.862143 36.801541 6833.820995 191.309979 0.108887
6650.033167 -352.735960 0 -121.862145 36.801537 6834.362742 191.309981 0.064773
6651.055417 -352.701302 0 -121.862147 36.801528 6835.385580 191.309983 0.021941
6652.077667 -352.691103 0 -121.862149 36.801519 6836.407881 191.309986 0.072462
6653.099918 -352.553154 0 -121.862152 36.801510 6837.439397 191.309989 0.125474
6654.122168 -352.434571 0 -121.862154 36.801501 6838.468502 191.309992 0.068255
6654.238041 -352.475471 1 -121.862154 36.801500 6838.591382 191.309994 0.068961
6654.354568 -352.450598 0 -121.862155 36.801499 6838.710534 186.340159 0.046271
6655.131339 -352.516805 0 -121.862156 36.801492 6839.490121 186.340159 0.090943
6656.138838 -352.612864 0 -121.862157 36.801483 6840.502190 186.340161 0.094218
