      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C        Bat      Xmiss         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6      Sal00      Sal11 Potemp090C Potemp190C  Sigma-�00  Sigma-�11   Sbeox0PS Sbeox0ML/L  Sbeox0Mm/Kg       Nbin       Flag
 255.151047     53.000     52.600   3.761037   3.760891    10.7908    10.7896     0.8469    80.9187     4.0796     1.5236     1.5236     0.4368     0.0375  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7429    33.7425    10.7845    10.7833    25.8349    25.8348   51.09091    3.19715    139.229         32 0.0000e+00
 255.151031     54.000     53.597   3.756440   3.756371    10.7357    10.7351     0.8910    80.0326     4.0356     1.5169     1.5169     0.4427     0.0377  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7474    33.7472    10.7292    10.7287    25.8482    25.8481   51.67266    3.23729    140.978         33 0.0000e+00
 255.151016     55.000     54.590   3.752617   3.752781    10.6888    10.6918     0.8560    80.7347     4.0704     1.4998     1.4998     0.4330     0.0373  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7519    33.7508    10.6823    10.6853    25.8600    25.8586   51.16615    3.20868    139.732         48 0.0000e+00
 255.150986     56.000     55.580   3.750668   3.749392    10.6656    10.6517     0.7777    82.3319     4.1498     1.4824     1.4823     0.4463     0.0379  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7534    33.7535    10.6590    10.6451    25.8652    25.8677   49.50594    3.10609    135.265         63 0.0000e+00
 255.150955     57.000     56.569   3.749527   3.748940    10.6514    10.6449     0.7463    82.9819     4.1821     1.4710     1.4710     0.4439     0.0378  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7547    33.7548    10.6446    10.6382    25.8687    25.8699   49.05197    3.07852    134.064         51 0.0000e+00
 255.150940     58.000     57.565   3.744816   3.744350    10.5942    10.5892     0.6711    84.5558     4.2602     1.4597     1.4596     0.4554     0.0382  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7599    33.7598    10.5873    10.5824    25.8828    25.8836   48.90554    3.07301    133.825         38 0.0000e+00
 255.150742     59.000     58.552   3.738077   3.735826    10.5089    10.4802     0.5694    86.7406     4.3688     1.4255     1.4255     0.4310     0.0372  0.0002000     0.0000 1.0000e-12     0.1293     100.00     5.0000    33.7707    33.7747    10.5020    10.4733    25.9061    25.9142   47.02940    2.96030    128.917         46 0.0000e+00
 255.150482     60.000     59.544   3.730145   3.729693    10.4071    10.4033     0.4683    88.9531     4.4787     1.3912     1.3911     0.4065     0.0363  0.0002000     0.0000 1.0000e-12     0.1292     100.00     5.0000    33.7849    33.7838    10.4001    10.3964    25.9348    25.9346   45.19625    2.85096    124.155         23 0.0000e+00
 255.150467     61.000     60.549   3.722969   3.722958    10.3243    10.3371     0.4394    89.5958     4.5106     1.3839     1.3839     0.4203     0.0368  0.0002000     0.0000 1.0000e-12     0.1287     100.00     5.0000    33.7890    33.7770    10.3172    10.3300    25.9523    25.9407   45.63173    2.88349    125.573         26 0.0000e+00
 255.150406     62.000     61.529   3.727807   3.727487    10.3821    10.3808     0.4415    89.5497     4.5083     1.3591     1.3590     0.3872     0.0355  0.0002000     0.0000 1.0000e-12     0.1292     100.00     5.0000    33.7836    33.7816    10.3749    10.3736    25.9382    25.9368   41.93818    2.64693    115.270         44 0.0000e+00
